N,rating,num_wins,num_losses,streak,drops,timestamp
0,985,49,46,-2,4,162966433
1,1000,49,45,-1,4,162966281
2,1016,49,44,4,4,162871753
3,1003,48,44,3,4,162724878
4,987,47,44,2,4,162372028
5,972,46,44,1,4,162362447
6,956,45,44,-1,4,162362172
7,969,45,43,5,4,162361019
8,953,44,43,4,4,162360273
9,937,43,43,3,4,162353446
10,922,42,43,2,4,162346885
11,906,41,43,1,4,162346616
12,891,40,43,-1,4,162346264
13,905,40,42,1,4,162346122
14,889,39,42,-4,4,162345909
15,903,39,41,-3,4,161957543
16,934,39,39,-1,4,161526501
17,949,39,38,3,4,161526211
18,934,38,38,2,4,161491560
19,918,37,38,1,4,161491368
20,903,36,38,-1,4,161490974
21,918,36,37,2,4,161490620
22,901,35,37,1,4,161473772
23,885,34,37,-1,4,161448045
24,900,34,36,4,4,161447842
25,885,33,36,3,4,161404050
26,869,32,36,2,4,161403876
27,854,31,36,1,4,161403744
28,837,30,36,-4,4,161403714
29,850,30,35,-3,4,161403596
30,866,30,34,-2,4,161385339
31,884,30,33,-1,4,161385087
32,898,30,32,1,4,161384870
33,882,29,32,-3,4,161384756
34,897,29,31,-2,4,161368904
35,912,29,30,-1,4,161368733
36,928,29,29,6,4,161326870
37,912,28,29,5,4,161326666
38,897,27,29,4,4,161319304
39,882,26,29,3,4,161319141
40,867,25,29,2,4,161266447
41,852,24,29,1,4,161266289
42,837,23,29,-1,4,161214285
43,851,23,28,1,4,161118178
44,835,22,28,-1,4,161074705
45,850,22,27,1,3,161066234
46,834,21,27,-1,3,161057656
47,848,21,26,5,2,160826678
48,831,20,26,4,2,160807212
49,816,19,26,3,2,160792608
50,800,18,26,2,2,160444254
51,784,17,26,1,2,160384976
52,769,16,26,-1,2,160324725
53,785,16,25,1,2,160324324
54,768,15,25,-2,2,160324069
55,784,15,24,-1,2,160323886
56,798,15,23,1,2,160287949
57,782,14,23,-2,2,160047781
58,799,14,22,-1,2,160047649
59,813,14,21,2,2,160047493
60,799,13,21,1,2,159977252
61,784,12,21,-3,2,159899660
62,799,12,20,-2,2,159899491
63,815,12,19,-1,2,159873696
64,831,12,18,1,2,159873282
65,815,11,18,-4,2,159867961
66,829,11,17,-3,2,159865501
67,845,11,16,-2,2,159822559
68,861,11,15,-1,2,159815109
69,876,11,14,1,2,159814856
70,861,10,14,-1,2,159814824
71,876,10,13,2,2,159787586
72,860,9,13,1,2,159781433
73,844,8,13,-5,2,159779342
74,859,8,12,-4,2,159778982
75,876,8,11,-3,2,159778159
76,893,8,10,-2,2,159771543
77,915,8,9,-1,2,159771339
78,937,8,8,2,2,159755708
79,915,7,8,1,2,159755476
80,888,6,8,-1,2,159755449
81,915,6,7,2,2,159753084
82,886,5,7,1,2,159746206
83,856,4,7,-1,2,159744392
84,887,4,6,2,1,159744101
